Channel Wavelength(nm) Current 
152 223.36 0 
153 223.63 0 
154 223.89 0 
155 224.16 0 
156 224.42 0 
157 224.69 0 
158 224.95 0 
159 225.22 0 
160 225.48 0 
161 225.75 0 
162 226.01 0 
163 226.28 0 
164 226.54 0 
165 226.81 0 
166 227.07 0 
167 227.34 0 
168 227.6 0 
169 227.87 0 
170 228.13 0 
171 228.4 0 
172 228.66 0 
173 228.93 0 
174 229.19 0 
175 229.46 0 
176 229.72 0 
177 229.98 0 
178 230.25 0 
179 230.51 0 
180 230.78 0 
181 231.04 0 
182 231.31 0 
183 231.57 0 
184 231.84 0 
185 232.1 0 
186 232.37 0 
187 232.63 0 
188 232.9 0 
189 233.16 0 
190 233.43 0 
191 233.69 0 
192 233.96 0 
193 234.22 0 
194 234.49 0 
195 234.75 0 
196 235.02 0 
197 235.28 0 
198 235.55 0 
199 235.81 0 
200 236.08 0 
201 236.34 0 
202 236.61 0 
203 236.87 0 
204 237.14 0 
205 237.4 0 
206 237.67 0 
207 237.93 0 
208 238.2 0 
209 238.46 0 
210 238.73 0 
211 238.99 0 
212 239.25 0 
213 239.52 0 
214 239.78 0 
215 240.05 0 
216 240.31 0 
217 240.58 0 
218 240.84 0 
219 241.11 0 
220 241.37 0 
221 241.64 0 
222 241.9 0 
223 242.17 0 
224 242.43 0 
225 242.7 0 
226 242.96 0 
227 243.23 0 
228 243.49 0 
229 243.76 0 
230 244.02 0 
231 244.29 0 
232 244.55 0 
233 244.82 0 
234 245.08 0 
235 245.35 0 
236 245.61 0 
237 245.88 0 
238 246.14 0 
239 246.41 0 
240 246.67 0 
241 246.94 0 
242 247.2 0 
243 247.47 0 
244 247.73 0 
245 247.99 0 
246 248.26 0 
247 248.52 0 
248 248.79 0 
249 249.05 0 
250 249.32 0 
251 249.58 0 
252 249.85 0 
253 250.11 0 
254 250.38 0 
255 250.64 0 
256 250.91 0 
257 251.17 0 
258 251.44 0 
259 251.7 0 
260 251.97 0 
261 252.23 0 
262 252.5 0 
263 252.76 0 
264 253.03 0 
265 253.29 0 
266 253.56 0 
267 253.82 0 
268 254.09 0 
269 254.35 0 
270 254.62 0 
271 254.88 0 
272 255.15 0 
273 255.41 0 
274 255.68 0 
275 255.94 0 
276 256.21 0 
277 256.47 0 
278 256.74 0 
279 257 0 
280 257.26 0 
281 257.53 0 
282 257.79 0 
283 258.06 0 
284 258.32 0 
285 258.59 0 
286 258.85 0 
287 259.12 0 
288 259.38 0 
289 259.65 0 
290 259.91 0 
291 260.18 0 
292 260.44 0 
293 260.71 0 
294 260.97 0 
295 261.24 0 
296 261.5 0 
297 261.77 0 
298 262.03 0 
299 262.3 0 
300 262.56 0 
301 262.83 0 
302 263.09 0 
303 263.36 0 
304 263.62 0 
305 263.89 0 
306 264.15 0 
307 264.42 0 
308 264.68 0 
309 264.95 0 
310 265.21 0 
311 265.48 0 
312 265.74 0 
313 266 0 
314 266.27 0 
315 266.53 0 
316 266.8 0 
317 267.06 0 
318 267.33 0 
319 267.59 0 
320 267.86 0 
321 268.12 0 
322 268.39 0 
323 268.65 0 
324 268.92 0 
325 269.18 0 
326 269.45 0 
327 269.71 0 
328 269.98 0 
329 270.24 0 
330 270.51 0 
331 270.77 0 
332 271.04 0 
333 271.3 0 
334 271.57 0 
335 271.83 0 
336 272.1 0 
337 272.36 0 
338 272.63 0 
339 272.89 0 
340 273.16 0 
341 273.42 0 
342 273.69 0 
343 273.95 0 
344 274.22 0 
345 274.48 0 
346 274.75 0 
347 275.01 0 
348 275.27 0 
349 275.54 0 
350 275.8 0 
351 276.07 0 
352 276.33 0 
353 276.6 0 
354 276.86 0 
355 277.13 0 
356 277.39 0 
357 277.66 0 
358 277.92 0 
359 278.19 0 
360 278.45 0 
361 278.72 0 
362 278.98 0 
363 279.25 0 
364 279.51 0 
365 279.78 0 
366 280.04 0 
367 280.31 0 
368 280.57 0 
369 280.84 0 
370 281.1 0 
371 281.37 0 
372 281.63 0 
373 281.9 0 
374 282.16 0 
375 282.43 0 
376 282.69 0 
377 282.96 0 
378 283.22 0 
379 283.49 0 
380 283.75 0 
381 284.02 0 
382 284.28 0 
383 284.54 0 
384 284.81 0 
385 285.07 0 
386 285.34 0 
387 285.6 0 
388 285.87 0 
389 286.13 0 
390 286.4 0 
391 286.66 0 
392 286.93 0 
393 287.19 0 
394 287.46 0 
395 287.72 0 
396 287.99 0 
397 288.25 0 
398 288.52 0 
399 288.78 0 
400 289.05 0 
401 289.31 0 
402 289.58 0 
403 289.84 0 
404 290.11 0 
405 290.37 0 
406 290.64 0 
407 290.9 0 
408 291.17 0 
409 291.43 0 
410 291.7 0 
411 291.96 0 
412 292.23 0 
413 292.49 0 
414 292.76 0 
415 293.02 0 
416 293.28 0 
417 293.55 0 
418 293.81 0 
419 294.08 0 
420 294.34 0 
421 294.61 0 
422 294.87 0 
423 295.14 0 
424 295.4 0 
425 295.67 0 
426 295.93 0 
427 296.2 0 
428 296.46 0 
429 296.73 0 
430 296.99 0 
431 297.26 0 
432 297.52 0 
433 297.79 0 
434 298.05 0 
435 298.32 0 
436 298.58 0 
437 298.85 0 
438 299.11 0 
439 299.38 0 
440 299.64 0 
441 299.91 0 
442 300.17 0 
443 300.44 0 
444 300.7 0 
445 300.97 0 
446 301.23 0 
447 301.5 0 
448 301.76 0 
449 302.03 0 
450 302.29 0 
451 302.55 0 
452 302.82 0 
453 303.08 0 
454 303.35 0 
455 303.61 0 
456 303.88 0 
457 304.14 0 
458 304.41 0 
459 304.67 0 
460 304.94 0 
461 305.2 0 
462 305.47 0 
463 305.73 0 
464 306 0 
465 306.26 0 
466 306.53 0 
467 306.79 0 
468 307.06 0 
469 307.32 0 
470 307.59 0 
471 307.85 0 
472 308.12 0 
473 308.38 0 
474 308.65 0 
475 308.91 0 
476 309.18 0 
477 309.44 0 
478 309.71 0 
479 309.97 0 
480 310.24 0 
481 310.5 0 
482 310.77 0 
483 311.03 0 
484 311.3 0 
485 311.56 0 
486 311.83 0 
487 312.09 0 
488 312.36 0 
489 312.62 0 
490 312.89 0 
491 313.15 0 
492 313.42 0 
493 313.68 0 
494 313.95 0 
495 314.21 0 
496 314.48 0 
497 314.74 0 
498 315.01 0 
499 315.27 0 
500 315.54 0 
501 315.8 0 
502 316.07 0 
503 316.33 0 
504 316.6 0 
505 316.86 0 
506 317.13 0 
507 317.39 0 
508 317.66 0 
509 317.92 0 
510 318.19 0 
511 318.45 0 
512 318.72 0 
513 318.98 0 
514 319.25 0 
515 319.51 0 
516 319.78 0 
517 320.04 0 
518 320.31 0 
519 320.57 0 
520 320.84 0 
521 321.1 0 
522 321.37 0 
523 321.64 0 
524 321.9 0 
525 322.17 0 
526 322.43 0 
527 322.7 0 
528 322.96 0 
529 323.23 0 
530 323.49 0 
531 323.76 0 
532 324.02 0 
533 324.29 0 
534 324.55 0 
535 324.82 0 
536 325.08 0 
537 325.35 0 
538 325.61 0 
539 325.88 0 
540 326.14 0 
541 326.41 0 
542 326.68 0 
543 326.94 0 
544 327.21 0 
545 327.47 0 
546 327.74 0 
547 328 0 
548 328.27 0 
549 328.53 0 
550 328.8 0 
551 329.06 0 
552 329.33 0 
553 329.59 0 
554 329.86 0 
555 330.13 0 
556 330.39 0 
557 330.66 0 
558 330.92 0 
559 331.19 0 
560 331.45 0 
561 331.72 0 
562 331.98 0 
563 332.25 0 
564 332.52 0 
565 332.78 0 
566 333.05 0 
567 333.31 0 
568 333.58 0 
569 333.84 0 
570 334.11 0 
571 334.37 0 
572 334.64 0 
573 334.91 0 
574 335.17 0 
575 335.44 0 
576 335.7 0 
577 335.97 0 
578 336.23 0 
579 336.5 0 
580 336.77 0 
581 337.03 0 
582 337.3 0 
583 337.56 0 
584 337.83 0 
585 338.09 0 
586 338.36 0 
587 338.63 0 
588 338.89 0 
589 339.16 0 
590 339.42 0 
591 339.69 0 
592 339.96 0 
593 340.22 0 
594 340.49 0 
595 340.75 0 
596 341.02 0 
597 341.28 0 
598 341.55 0 
599 341.82 0 
600 342.08 0 
601 342.35 0 
602 342.61 0 
603 342.88 0 
604 343.15 0 
605 343.41 0 
606 343.68 0 
607 343.94 0 
608 344.21 0 
609 344.48 0 
610 344.74 0 
611 345.01 0 
612 345.28 0 
613 345.54 0 
614 345.81 0 
615 346.07 0 
616 346.34 0 
617 346.61 0 
618 346.87 0 
619 347.14 0 
620 347.41 0 
621 347.67 0 
622 347.94 0 
623 348.2 0 
624 348.47 0 
625 348.74 0 
626 349 0 
627 349.27 0 
628 349.54 0 
629 349.8 0 
630 350.07 0 
631 350.34 0 
632 350.6 0 
633 350.87 0 
634 351.13 0 
635 351.4 0 
636 351.67 0 
637 351.93 0 
638 352.2 0 
639 352.47 0 
640 352.73 0 
641 353 0 
642 353.27 0 
643 353.53 0 
644 353.8 0 
645 354.07 0 
646 354.33 0 
647 354.6 0 
648 354.87 0 
649 355.13 0 
650 355.4 0 
651 355.67 0 
652 355.93 0 
653 356.2 0 
654 356.47 0 
655 356.73 0 
656 357 0 
657 357.27 0 
658 357.53 0 
659 357.8 0 
660 358.07 0 
661 358.34 0 
662 358.6 0 
663 358.87 0 
664 359.14 0 
665 359.4 0 
666 359.67 0 
667 359.94 0 
668 360.2 0 
669 360.47 0 
670 360.74 0 
671 361.01 0 
672 361.27 0 
673 361.54 0 
674 361.81 0 
675 362.07 0 
676 362.34 0 
677 362.61 0 
678 362.88 0 
679 363.14 0 
680 363.41 0 
681 363.68 0 
682 363.95 0 
683 364.21 0 
684 364.48 0 
685 364.75 0 
686 365.01 0 
687 365.28 0 
688 365.55 0 
689 365.82 0 
690 366.08 0 
691 366.35 0 
692 366.62 0 
693 366.89 0 
694 367.15 0 
695 367.42 0 
696 367.69 0 
697 367.96 0 
698 368.23 0 
699 368.49 0 
700 368.76 0 
701 369.03 0 
702 369.3 0 
703 369.56 0 
704 369.83 0 
705 370.1 0 
706 370.37 0 
707 370.63 0 
708 370.9 0 
709 371.17 0 
710 371.44 0 
711 371.71 0 
712 371.97 0 
713 372.24 0 
714 372.51 0 
715 372.78 0 
716 373.05 0 
717 373.31 0 
718 373.58 0 
719 373.85 0 
720 374.12 0 
721 374.38 0 
722 374.65 0 
723 374.92 0 
724 375.19 0 
725 375.46 0 
726 375.72 0 
727 375.99 0 
728 376.26 0 
729 376.53 0 
730 376.8 0 
731 377.06 0 
732 377.33 0 
733 377.6 0 
734 377.87 0 
735 378.14 0 
736 378.4 0 
737 378.67 0 
738 378.94 0 
739 379.21 0 
740 379.48 0 
741 379.75 0 
742 380.01 0 
743 380.28 0 
744 380.55 0 
745 380.82 0 
746 381.09 0 
747 381.35 0 
748 381.62 0 
749 381.89 0 
750 382.16 0 
751 382.43 0 
752 382.69 0 
753 382.96 0 
754 383.23 0 
755 383.5 0 
756 383.77 0 
757 384.03 0 
758 384.3 0 
759 384.57 0 
760 384.84 0 
761 385.11 0 
762 385.38 0 
763 385.64 0 
764 385.91 0 
765 386.18 0 
766 386.45 0 
767 386.72 0 
768 386.98 0 
769 387.25 0 
770 387.52 0 
771 387.79 0 
772 388.06 0 
773 388.32 0 
774 388.59 0 
775 388.86 0 
776 389.13 0 
777 389.4 0 
778 389.66 0 
779 389.93 0 
780 390.2 0 
781 390.47 0 
782 390.74 0 
783 391 0 
784 391.27 0 
785 391.54 0 
786 391.81 0 
787 392.08 0 
788 392.34 0 
789 392.61 0 
790 392.88 0 
791 393.15 0 
792 393.42 0 
793 393.68 0 
794 393.95 0 
795 394.22 0 
796 394.49 0 
797 394.76 0 
798 395.02 0 
799 395.29 0 
800 395.56 0 
801 395.83 0 
802 396.09 0 
803 396.36 0 
804 396.63 0 
805 396.9 0 
806 397.17 0 
807 397.43 0 
808 397.7 0 
809 397.97 0 
810 398.24 0 
811 398.5 0 
812 398.77 0 
813 399.04 0 
814 399.31 0 
815 399.57 0 
816 399.84 0 
817 400.11 0 
818 400.38 0 
819 400.65 0 
820 400.91 0 
821 401.18 0 
822 401.45 0 
823 401.72 0 
824 401.98 0 
825 402.25 0 
826 402.52 0 
827 402.78 0 
828 403.05 0 
829 403.32 0 
830 403.59 0 
831 403.85 0 
832 404.12 0 
833 404.39 0 
834 404.66 0 
835 404.92 0 
836 405.19 0 
837 405.46 0 
838 405.72 0 
839 405.99 0 
840 406.26 0 
841 406.53 0 
842 406.79 0 
843 407.06 0 
844 407.33 0 
845 407.59 0 
846 407.86 0 
847 408.13 0 
848 408.4 0 
849 408.66 0 
850 408.93 0 
851 409.2 0 
852 409.46 0 
853 409.73 0 
854 410 0 
855 410.26 0 
856 410.53 0 
857 410.8 0 
858 411.06 0 
859 411.33 0 
860 411.6 0 
861 411.86 0 
862 412.13 0 
863 412.4 0 
864 412.66 0 
865 412.93 0 
866 413.2 0 
867 413.46 0 
868 413.73 0 
869 414 0 
870 414.26 0 
871 414.53 0 
872 414.8 0 
873 415.06 0 
874 415.33 0 
875 415.6 0 
876 415.86 0 
877 416.13 0 
878 416.4 0 
879 416.66 0 
880 416.93 0 
881 417.19 0 
882 417.46 0 
883 417.73 0 
884 417.99 0 
885 418.26 0 
886 418.53 0 
887 418.79 0 
888 419.06 0 
889 419.33 0 
890 419.59 0 
891 419.86 0 
892 420.13 0 
893 420.39 0 
894 420.66 0 
895 420.92 0 
896 421.19 0 
897 421.46 0 
898 421.72 0 
899 421.99 0 
900 422.26 0 
901 422.52 0 
902 422.79 0 
903 423.05 0 
904 423.32 0 
905 423.59 0 
906 423.85 0 
907 424.12 0 
908 424.39 0 
909 424.65 0 
910 424.92 0 
911 425.18 0 
912 425.45 0 
913 425.72 0 
914 425.98 0 
915 426.25 0 
916 426.52 0 
917 426.78 0 
918 427.05 0 
919 427.31 0 
920 427.58 0 
921 427.85 0 
922 428.11 0 
923 428.38 0 
924 428.64 0 
925 428.91 0 
926 429.18 0 
927 429.44 0 
928 429.71 0 
929 429.98 0 
930 430.24 0 
931 430.51 0 
932 430.77 0 
933 431.04 0 
934 431.31 0 
935 431.57 0 
936 431.84 0 
937 432.11 0 
938 432.37 0 
939 432.64 0 
940 432.9 0 
941 433.17 0 
942 433.44 0 
943 433.7 0 
944 433.97 0 
945 434.24 0 
946 434.5 0 
947 434.77 0 
948 435.03 0 
949 435.3 0 
950 435.57 0 
951 435.83 0 
952 436.1 0 
953 436.37 0 
954 436.63 0 
955 436.9 0 
956 437.16 0 
957 437.43 0 
958 437.7 0 
959 437.96 0 
960 438.23 0 
961 438.5 0 
962 438.76 0 
963 439.03 0 
964 439.3 0 
965 439.56 0 
966 439.83 0 
967 440.09 0 
968 440.36 0 
969 440.63 0 
970 440.89 0 
971 441.16 0 
972 441.43 0 
973 441.69 0 
974 441.96 0 
975 442.23 0 
976 442.49 0 
977 442.76 0 
978 443.02 0 
979 443.29 0 
980 443.56 0 
981 443.82 0 
982 444.09 0 
983 444.36 0 
984 444.62 0 
985 444.89 0 
986 445.16 0 
987 445.42 0 
988 445.69 0 
989 445.96 0 
990 446.22 0 
991 446.49 0 
992 446.76 0 
993 447.02 0 
994 447.29 0 
995 447.56 0 
996 447.82 0 
997 448.09 0 
998 448.35 0 
999 448.62 0 
1000 448.89 0 
1001 449.15 0 
1002 449.42 0 
1003 449.69 0 
1004 449.95 0 
1005 450.22 0 
1006 450.49 0 
1007 450.75 0 
1008 451.02 0 
1009 451.29 0 
1010 451.55 0 
1011 451.82 0 
1012 452.09 0 
1013 452.35 0 
1014 452.62 0 
1015 452.89 0 
1016 453.15 0 
1017 453.42 0 
1018 453.69 0 
1019 453.95 0 
1020 454.22 0 
1021 454.49 0 
1022 454.75 0 
1023 455.02 0 
1024 455.29 0 
1025 455.55 0 
1026 455.82 0 
1027 456.09 0 
1028 456.35 0 
1029 456.62 0 
1030 456.89 0 
1031 457.15 0 
1032 457.42 0 
1033 457.69 0 
1034 457.95 0 
1035 458.22 0 
1036 458.49 0 
1037 458.75 0 
1038 459.02 0 
1039 459.29 0 
1040 459.55 0 
1041 459.82 0 
1042 460.09 0 
1043 460.35 0 
1044 460.62 0 
1045 460.89 0 
1046 461.15 0 
1047 461.42 0 
1048 461.69 0 
1049 461.95 0 
1050 462.22 0 
1051 462.49 0 
1052 462.75 0 
1053 463.02 0 
1054 463.29 0 
1055 463.55 0 
1056 463.82 0 
1057 464.09 0 
1058 464.35 0 
1059 464.62 0 
1060 464.89 0 
1061 465.15 0 
1062 465.42 0 
1063 465.69 0 
1064 465.95 0 
1065 466.22 0 
1066 466.49 0 
1067 466.75 0 
1068 467.02 0 
1069 467.29 0 
1070 467.56 0 
1071 467.82 0 
1072 468.09 0 
1073 468.36 0 
1074 468.62 0 
1075 468.89 0 
1076 469.16 0 
1077 469.42 0 
1078 469.69 0 
1079 469.96 0 
1080 470.22 0 
1081 470.49 0 
1082 470.76 0 
1083 471.02 0 
1084 471.29 0 
1085 471.56 0 
1086 471.82 0 
1087 472.09 0 
1088 472.36 0 
1089 472.62 0 
1090 472.89 0 
1091 473.16 0 
1092 473.42 0 
1093 473.69 0 
1094 473.96 0 
1095 474.22 0 
1096 474.49 0 
1097 474.76 0 
1098 475.03 0 
1099 475.29 0 
1100 475.56 0 
1101 475.83 0 
1102 476.09 0 
1103 476.36 0 
1104 476.63 0 
1105 476.89 0 
1106 477.16 0 
1107 477.43 0 
1108 477.69 0 
1109 477.96 0 
1110 478.23 0 
1111 478.49 0 
1112 478.76 0 
1113 479.03 0 
1114 479.29 0 
1115 479.56 0 
1116 479.83 0 
1117 480.09 0 
1118 480.36 0 
1119 480.63 0 
1120 480.9 0 
1121 481.16 0 
1122 481.43 0 
1123 481.7 0 
1124 481.96 0 
1125 482.23 0 
1126 482.5 0 
1127 482.76 0 
1128 483.03 0 
1129 483.3 0 
1130 483.56 0 
1131 483.83 0 
1132 484.1 0 
1133 484.36 0 
1134 484.63 0 
1135 484.9 0 
1136 485.16 0 
1137 485.43 0 
1138 485.7 0 
1139 485.96 0 
1140 486.23 0 
1141 486.5 0 
1142 486.77 0 
1143 487.03 0 
1144 487.3 0 
1145 487.57 0 
1146 487.83 0 
1147 488.1 0 
1148 488.37 0 
1149 488.63 0 
1150 488.9 0 
1151 489.17 0 
1152 489.43 0 
1153 489.7 0 
1154 489.97 0 
1155 490.23 0 
1156 490.5 0 
1157 490.77 0 
1158 491.03 0 
1159 491.3 0 
1160 491.57 0 
1161 491.83 0 
1162 492.1 0 
1163 492.37 0 
1164 492.63 0 
1165 492.9 0 
1166 493.17 0 
1167 493.44 0 
1168 493.7 0 
1169 493.97 0 
1170 494.24 0 
1171 494.5 0 
1172 494.77 0 
1173 495.04 0 
1174 495.3 0 
1175 495.57 0 
1176 495.84 0 
1177 496.1 0 
1178 496.37 0 
1179 496.64 0 
1180 496.9 0 
1181 497.17 0 
1182 497.44 0 
1183 497.7 0 
1184 497.97 0 
1185 498.24 0 
1186 498.5 0 
1187 498.77 0 
1188 499.04 0 
1189 499.3 0 
1190 499.57 0 
1191 499.84 0 
1192 500.1 0 
1193 500.37 0 
1194 500.64 0 
1195 500.9 0 
1196 501.17 0 
1197 501.44 0 
1198 501.7 0 
1199 501.97 0 
1200 502.24 0 
1201 502.5 0 
1202 502.77 0 
1203 503.04 0 
1204 503.3 0 
1205 503.57 0 
1206 503.84 0 
1207 504.1 0 
1208 504.37 0 
1209 504.64 0 
1210 504.9 0 
1211 505.17 0 
1212 505.44 0 
1213 505.7 0 
1214 505.97 0 
1215 506.24 0 
1216 506.5 0 
1217 506.77 0 
1218 507.04 0 
1219 507.3 0 
1220 507.57 0 
1221 507.84 0 
1222 508.1 0 
1223 508.37 0 
1224 508.64 0 
1225 508.9 0 
1226 509.17 0 
1227 509.44 0 
1228 509.7 0 
1229 509.97 0 
1230 510.24 0 
1231 510.5 0 
1232 510.77 0 
1233 511.04 0 
1234 511.3 0 
1235 511.57 0 
1236 511.84 0 
1237 512.1 0 
1238 512.37 0 
1239 512.64 0 
1240 512.9 0 
1241 513.17 0 
1242 513.44 0 
1243 513.7 0 
1244 513.97 0 
1245 514.24 0 
1246 514.5 0 
1247 514.77 0 
1248 515.03 0 
1249 515.3 0 
1250 515.57 0 
1251 515.83 0 
1252 516.1 0 
1253 516.37 0 
1254 516.63 0 
1255 516.9 0 
1256 517.17 0 
1257 517.43 0 
1258 517.7 0 
1259 517.97 0 
1260 518.23 0 
1261 518.5 0 
1262 518.77 0 
1263 519.03 0 
1264 519.3 0 
1265 519.57 0 
1266 519.83 0 
1267 520.1 0 
1268 520.37 0 
1269 520.63 0 
1270 520.9 0 
1271 521.17 0 
1272 521.43 0 
1273 521.7 0 
1274 521.96 0 
1275 522.23 0 
1276 522.5 0 
1277 522.76 0 
1278 523.03 0 
1279 523.3 0 
1280 523.56 0 
1281 523.83 0 
1282 524.1 0 
1283 524.36 0 
1284 524.63 0 
1285 524.9 0 
1286 525.16 0 
1287 525.43 0 
1288 525.7 0 
1289 525.96 0 
1290 526.23 0 
1291 526.5 0 
1292 526.76 0 
1293 527.03 0 
1294 527.29 0 
1295 527.56 0 
1296 527.83 0 
1297 528.09 0 
1298 528.36 0 
1299 528.63 0 
1300 528.89 0 
1301 529.16 0 
1302 529.43 0 
1303 529.69 0 
1304 529.96 0 
1305 530.23 0 
1306 530.49 0 
1307 530.76 0 
1308 531.03 0 
1309 531.29 0 
1310 531.56 0 
1311 531.83 0 
1312 532.09 0 
1313 532.36 0 
1314 532.63 0 
1315 532.89 0 
1316 533.16 0 
1317 533.43 0 
1318 533.69 0 
1319 533.96 0 
1320 534.23 0 
1321 534.49 0 
1322 534.76 0 
1323 535.02 0 
1324 535.29 0 
1325 535.56 0 
1326 535.82 0 
1327 536.09 0 
1328 536.36 0 
1329 536.62 0 
1330 536.89 0 
1331 537.16 0 
1332 537.42 0 
1333 537.69 0 
1334 537.96 0 
1335 538.22 0 
1336 538.49 0 
1337 538.76 0 
1338 539.02 0 
1339 539.29 0 
1340 539.56 0 
1341 539.82 0 
1342 540.09 0 
1343 540.36 0 
1344 540.62 0 
1345 540.89 0 
1346 541.16 0 
1347 541.42 0 
1348 541.69 0 
1349 541.96 0 
1350 542.22 0 
1351 542.49 0 
1352 542.76 0 
1353 543.02 0 
1354 543.29 0 
1355 543.56 0 
1356 543.82 0 
1357 544.09 0 
1358 544.36 0 
1359 544.62 0 
1360 544.89 0 
1361 545.16 0 
1362 545.42 0 
1363 545.69 0 
1364 545.96 0 
1365 546.23 0 
1366 546.49 0 
1367 546.76 0 
1368 547.03 0 
1369 547.29 0 
1370 547.56 0 
1371 547.83 0 
1372 548.09 0 
1373 548.36 0 
1374 548.63 0 
1375 548.89 0 
1376 549.16 0 
1377 549.43 0 
1378 549.69 0 
1379 549.96 0 
1380 550.23 0 
1381 550.49 0 
1382 550.76 0 
1383 551.03 0 
1384 551.3 0 
1385 551.56 0 
1386 551.83 0 
1387 552.1 0 
1388 552.36 0 
1389 552.63 0 
1390 552.9 0 
1391 553.16 0 
1392 553.43 0 
1393 553.7 0 
1394 553.96 0 
1395 554.23 0 
1396 554.5 0 
1397 554.77 0 
1398 555.03 0 
1399 555.3 0 
1400 555.57 0 
1401 555.83 0 
1402 556.1 0 
1403 556.37 0 
1404 556.63 0 
1405 556.9 0 
1406 557.17 0 
1407 557.44 0 
1408 557.7 0 
1409 557.97 0 
1410 558.24 0 
1411 558.5 0 
1412 558.77 0 
1413 559.04 0 
1414 559.31 0 
1415 559.57 0 
1416 559.84 0 
1417 560.11 0 
1418 560.37 0 
1419 560.64 0 
1420 560.91 0 
1421 561.18 0 
1422 561.44 0 
1423 561.71 0 
1424 561.98 0 
1425 562.24 0 
1426 562.51 0 
1427 562.78 0 
1428 563.05 0 
1429 563.31 0 
1430 563.58 0 
1431 563.85 0 
1432 564.12 0 
1433 564.38 0 
1434 564.65 0 
1435 564.92 0 
1436 565.19 0 
1437 565.45 0 
1438 565.72 0 
1439 565.99 0 
1440 566.25 0 
1441 566.52 0 
1442 566.79 0 
1443 567.06 0 
1444 567.32 0 
1445 567.59 0 
1446 567.86 0 
1447 568.13 0 
1448 568.39 0 
1449 568.66 0 
1450 568.93 0 
1451 569.2 0 
1452 569.46 0 
1453 569.73 0 
1454 570 0 
1455 570.27 0 
1456 570.53 0 
1457 570.8 0 
1458 571.07 0 
1459 571.34 0 
1460 571.6 0 
1461 571.87 0 
1462 572.14 0 
1463 572.41 0 
1464 572.68 0 
1465 572.94 0 
1466 573.21 0 
1467 573.48 0 
1468 573.75 0 
1469 574.01 0 
1470 574.28 0 
1471 574.55 0 
1472 574.82 0 
1473 575.09 0 
1474 575.35 0 
1475 575.62 0 
1476 575.89 0 
1477 576.16 0 
1478 576.42 0 
1479 576.69 0 
1480 576.96 0 
1481 577.23 0 
1482 577.5 0 
1483 577.76 0 
1484 578.03 0 
1485 578.3 0 
1486 578.57 0 
1487 578.84 0 
1488 579.1 0 
1489 579.37 0 
1490 579.64 0 
1491 579.91 0 
1492 580.18 0 
1493 580.44 0 
1494 580.71 0 
1495 580.98 0 
1496 581.25 0 
1497 581.52 0 
1498 581.78 0 
